interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,54.00,333.33,9.73,myLoop0,5.00,5,5,4.76,9.74
0.00,54.00,0.00,-1.00,myLoop1,-1.00,0,0,0.00,-1.00
0.00,54.00,0.00,-1.00,myLoop2,-1.00,0,0,0.00,-1.00
