tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
163.00,e2_0,1000.00,33.30,0.00,0.00,e0_0,5.10,0.00,tripinfo_0 emissions_0 ssm_0 fcd_0,163.00,0,0,4604.44,1.06,0.00,24.88,Car01,,1,1.00,1003355.594247,18611.012476,110.109652,413.986172,24.345688,0,431.296325
167.00,e2_0,1000.00,31.46,3.00,3.00,e0_0,5.10,0.00,tripinfo_1 emissions_1 ssm_1 fcd_1,164.00,1,0,4604.44,0.94,0.00,17.51,Car,,0,0.00,1174825.438989,18868.525375,115.989947,438.219188,27.063712,0,505.006887
169.00,e2_0,1000.00,33.53,5.00,5.00,e0_0,5.10,0.00,tripinfo_2 emissions_2 ssm_2 fcd_2,164.00,2,0,4604.44,1.01,0.00,25.77,Car,,0,0.00,914086.185272,15304.165787,92.946155,354.286735,21.336243,0,392.925211
170.00,e2_0,1000.00,33.53,8.00,8.00,e0_0,5.10,0.00,tripinfo_3 emissions_3 ssm_3 fcd_3,162.00,3,0,4604.44,1.08,0.00,24.13,Car,,0,0.00,934820.865437,16111.262652,97.183640,364.544185,22.103845,0,401.838053
171.00,e2_0,1000.00,33.53,10.00,10.00,e0_0,5.10,0.00,tripinfo_4 emissions_4 ssm_4 fcd_4,161.00,4,0,4604.44,1.03,0.00,23.53,Car,,0,0.00,1080255.288359,19287.881323,115.479310,417.845530,25.865953,0,464.354518
