data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
5.00,105.63,5796.42,0.62,2.46,0.11,90.00,HBEFA3/PC_G_EU4,0.00,2.49,0,e0_0,66.90,32.51,route01,8.92,Car01,0.00,32.51,-1.60,,,,,,,,,,,,,,,
5.00,147.20,5686.50,0.81,2.51,0.12,90.00,HBEFA3/PC_G_EU4,0.00,2.44,1,e0_0,69.46,12.90,route01,5.20,Car,0.00,12.90,-1.60,,,,,,,,,,,,,,,
5.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.13,2,e0_0,55.94,5.10,route01,0.00,Car,0.00,5.10,-1.60,,,,,,,,,,,,,,,
5.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,e0,341.87,417.60,14107.65,2.24,6.17,0.30,0.00,6.06,e0_0,33.53,4.71,71.50,0.01,3
5.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
6.00,134.35,8139.33,0.81,3.51,0.17,90.00,HBEFA3/PC_G_EU4,0.00,3.50,0,e0_0,69.97,43.52,route01,11.01,Car01,0.00,43.52,-1.60,,,,,,,,,,,,,,,
6.00,150.16,7376.59,0.86,3.24,0.16,90.00,HBEFA3/PC_G_EU4,0.00,3.17,1,e0_0,70.61,20.70,route01,7.80,Car,0.00,20.70,-1.60,,,,,,,,,,,,,,,
6.00,148.38,2909.27,0.74,1.30,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.25,2,e0_0,62.15,6.40,route01,1.30,Car,0.00,6.40,-1.60,,,,,,,,,,,,,,,
6.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,e0,240.09,432.89,18425.18,2.41,8.05,0.39,0.00,7.92,e0_0,33.53,6.70,73.63,0.01,3
6.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
7.00,118.65,8031.83,0.73,3.42,0.16,90.00,HBEFA3/PC_G_EU4,0.00,3.45,0,e0_0,69.46,56.27,route01,12.75,Car01,0.00,56.27,-1.60,,,,,,,,,,,,,,,
7.00,160.95,9172.80,0.95,4.02,0.20,90.00,HBEFA3/PC_G_EU4,0.00,3.94,1,e0_0,71.82,31.10,route01,10.40,Car,0.00,31.10,-1.60,,,,,,,,,,,,,,,
7.00,148.66,4880.65,0.79,2.16,0.11,90.00,HBEFA3/PC_G_EU4,0.00,2.10,2,e0_0,68.91,10.30,route01,3.90,Car,0.00,10.30,-1.60,,,,,,,,,,,,,,,
7.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,:gneJ2_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ2_0_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,e0,178.49,428.26,22085.29,2.48,9.60,0.46,0.00,9.49,e0_0,33.53,9.02,75.03,0.01,3
7.00,,,,,,,,,,,,,,,,,,,,e1,59.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e1_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,e2,29.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,e2_0,33.53,33.53,0.00,0.00,0
8.00,156.56,10496.02,0.97,4.53,0.22,90.00,HBEFA3/PC_G_EU4,0.00,4.51,0,e0_0,71.88,71.10,route01,14.84,Car01,0.00,71.10,-1.60,,,,,,,,,,,,,,,
8.00,179.58,11075.16,1.09,4.85,0.24,90.00,HBEFA3/PC_G_EU4,0.00,4.76,1,e0_0,73.06,44.10,route01,13.00,Car,0.00,44.10,-1.60,,,,,,,,,,,,,,,
8.00,147.70,6517.63,0.83,2.87,0.14,90.00,HBEFA3/PC_G_EU4,0.00,2.80,2,e0_0,70.03,16.80,route01,6.50,Car,0.00,16.80,-1.60,,,,,,,,,,,,,,,
8.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,1.13,3,e0_0,55.94,5.10,route01,0.00,Car,0.00,5.10,-1.60,,,,,,,,,,,,,,,
