Vehicle 1 Gap Error,Vehicle 2 Gap Error,Vehicle 3 Gap Error,Vehicle 4 Gap Error
1.2733838768572752,1.7597192882224721,1.8223024486453236,1.8557593630734992
1.2417450858373256,1.8553210711867507,1.8176248463732838,1.7701517370928217
1.3351517181110055,1.8396661782617358,1.8004211780125376,1.7394346050996168
1.3384842814422053,1.8189149240517293,1.7123215079131193,1.8141693694602905
1.2975008014061484,1.7278654589303364,1.726116095780653,1.7764902577713801
1.377400555278252,1.7190932550929223,1.7243445012051302,1.7622395037867205
1.3523951573723494,1.6815640795380382,1.76667135500597,1.8422558309103225
1.3372607934252412,1.774832381644138,1.740120865125201,1.81005612970399
1.3791812418066174,1.6719401221682912,1.7395720160656052,1.796039779063491
1.2985971722707017,1.6778705335133686,1.8083586031373784,1.7735978478601555
1.335941205357229,1.6650505800257016,1.7704861481109422,1.762115030284642
1.3166944439858912,1.6586251393274125,1.8582850410140255,1.7507200593298125
1.340158234499114,1.7136404777398377,1.8559895728180775,1.7084869640037104
1.2745149445738622,1.663367977103674,1.8438271707334195,1.6867924741757006
1.2225783281264482,1.6742270677620565,1.9056885057539716,1.76361916732231
1.23256756383116,1.694007106282076,1.8717549140240908,1.7653668806718206
1.2622453578600084,1.6809005299820359,1.866307677057169,1.8063165900009621
1.2481687708507931,1.7347783437795847,1.8253433043796314,1.8147032913940153
1.2375334672213287,1.7545324810824807,1.8511253779201375,1.799600803114973
1.2956616529976106,1.751260690905546,1.8523079004962275,1.7360819551968665
1.1945106376667862,1.8234484271873286,1.7801055140328415,1.8164333442136447
1.2200534803847538,1.7922124588979305,1.8580361607782057,1.7570356577478168
1.2086611107296052,1.8737958213739958,1.8279068227895086,1.7623123648509473
1.191043240826426,1.8016242401453972,1.7741848796888844,1.710585158564161
1.250314035412746,1.7974468470826994,1.780349996715294,1.723380916858924
1.2822965045283237,1.8635102247920097,1.7110743494537455,1.8028742244681406
1.2063884054146579,1.8137695053516918,1.7790645505164804,1.8003259767206177
1.2320628771950566,1.807126408660778,1.7655973710360842,1.723048410207372
1.2258330920189722,1.881803329448955,1.8384583975801756,1.6922000681217186
1.2970683339571312,1.869417200764952,1.7976079024535716,1.7888762578623534
1.2705265927382672,1.883102174079494,1.790904228533447,1.751870451939455
1.2138745334191476,1.895346991340988,1.7825528859946629,1.6831217780472119
1.2602223423187295,1.9222632256053651,1.7550432348637517,1.7311088047147551
1.2987685552056978,1.8092497308872941,1.774199884142913,1.6845621980668235
1.2471452181012768,1.9357131074302019,1.6965063407978622,1.800395019790955
1.2063331142634892,1.8717581646150045,1.7289289217156418,1.6791255634606475
1.2539056635640535,1.9193178694641895,1.7519618921628815,1.6965331148295069
1.2491783986300393,1.8991454144657443,1.7116627844923586,1.6864698497190362
1.3176556636278756,1.9007032551008654,1.7277267064058544,1.661025491281598
1.2258125733252743,1.8467093394456247,1.7332385961536234,1.7235723932653801
1.2698694702646423,1.865596893833691,1.7199461449111513,1.7079873604226856
1.217900967385459,1.9279767399902759,1.7704740617940908,1.7260583514457388
1.2298112934966903,1.8375886382098812,1.7192188151377832,1.768849401745428
1.3099785797265957,1.8385773547765814,1.7702200115511482,1.70375256682766
1.2321990966376837,1.930176070259836,1.8058321508869035,1.6517340736659558
1.2120337432702057,1.9219774459045862,1.7035177819527374,1.7241082617918475
1.2217630855280488,1.9337494706976481,1.773820398965098,1.6659240275459135
1.249063903556816,1.9255766690614253,1.7157748093871814,1.7181611744469425
1.3088865497154436,1.8494025265362306,1.7923857101413283,1.695438366997017
1.204943211520006,1.9240558184965288,1.768933354975485,1.7202286405175538
1.316367330661547,1.9659618564470325,1.7954292633923425,1.722868192698166
1.251234068606399,1.8498824918007535,1.732578315885577,1.6396875030582696
1.2604513360195257,1.8542327543338137,1.7692496945380132,1.6162307262145927
1.1787959738096059,1.9139418156949342,1.8075289730221535,1.63731778442952
1.1816865003072987,1.9319634283387797,1.8212673770309897,1.5791887386102772
1.2195760504305615,1.8611973313385608,1.8152373799761614,1.663206900553876
1.2515706929411081,1.838812228918318,1.7759153218063526,1.5666976506808297
1.196810085000401,1.8553804391347044,1.7839089388842786,1.6968863036855795
1.2455864437158906,1.8255239833758492,1.7744287432284067,1.5853067359988788
1.2751093379822245,1.871361250229406,1.843576795197733,1.5966707905650597
1.186736864054739,1.908217403952004,1.8200680771648061,1.600846342950156
1.285122435711,1.8447552804605696,1.7709508135103396,1.6216356042523379
1.322522089412804,1.8369012139186314,1.793408257719876,1.6047524321720168
1.2596247060767598,1.8251717638481644,1.865356196371195,1.6093420898315425
1.2698551964086988,1.8603530504811796,1.7855245760949692,1.6020742151403002
1.3072615590217564,1.860911228510035,1.7678434879191025,1.5776207705847272
1.2956894615097725,1.8098849269798327,1.768936052110515,1.5574575962932595
1.2520500648194757,1.9113893766236707,1.8114341389816584,1.545673209486357
