data_timestep,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,vehicle_angle,vehicle_eclass,vehicle_electricity,vehicle_fuel,vehicle_id,vehicle_lane,vehicle_noise,vehicle_pos,vehicle_route,vehicle_speed,vehicle_type,vehicle_waiting,vehicle_x,vehicle_y,edge_id,edge_traveltime,lane_CO,lane_CO2,lane_HC,lane_NOx,lane_PMx,lane_electricity,lane_fuel,lane_id,lane_maxspeed,lane_meanspeed,lane_noise,lane_occupancy,lane_vehicle_count
4.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
5.00,130.06,7223.82,0.76,3.12,0.15,90.00,HBEFA3/PC_G_EU4,0.00,2304.05,0,gneE0_0,69.19,33.00,route01,9.42,Car01,0.00,33.00,0.00,,,,,,,,,,,,,,,
5.00,134.53,3791.85,0.70,1.66,0.08,90.00,HBEFA3/PC_G_EU4,0.00,1209.46,1,gneE0_0,64.92,10.03,route01,3.33,Car01,0.00,10.03,0.00,,,,,,,,,,,,,,,
5.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,gneE0,1262.15,264.59,11015.67,1.47,4.79,0.23,0.00,3513.51,gneE0_0,33.53,6.38,70.57,0.00,2
5.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
5.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
6.00,136.18,8426.59,0.82,3.64,0.17,90.00,HBEFA3/PC_G_EU4,0.00,2687.67,0,gneE0_0,70.21,44.50,route01,11.50,Car01,0.00,44.50,0.00,,,,,,,,,,,,,,,
6.00,134.27,5249.30,0.74,2.29,0.11,90.00,HBEFA3/PC_G_EU4,0.00,1674.30,1,gneE0_0,67.69,15.52,route01,5.50,Car01,0.00,15.52,0.00,,,,,,,,,,,,,,,
6.00,164.78,2624.72,0.81,1.20,0.07,90.00,HBEFA3/PC_G_EU4,0.00,837.22,2,gneE0_0,55.94,5.10,route01,0.00,Car01,0.00,5.10,0.00,,,,,,,,,,,,,,,
6.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,gneE0,1419.94,435.23,16300.62,2.37,7.13,0.35,0.00,5199.19,gneE0_0,33.53,5.67,72.24,0.00,3
6.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
6.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
7.00,138.05,9208.98,0.85,3.96,0.19,90.00,HBEFA3/PC_G_EU4,0.00,2937.21,0,gneE0_0,70.72,57.98,route01,13.47,Car01,0.00,57.98,0.00,,,,,,,,,,,,,,,
7.00,122.31,5815.60,0.69,2.51,0.12,90.00,HBEFA3/PC_G_EU4,0.00,1854.91,1,gneE0_0,67.54,22.94,route01,7.42,Car01,0.00,22.94,0.00,,,,,,,,,,,,,,,
7.00,147.81,3422.53,0.75,1.53,0.08,90.00,HBEFA3/PC_G_EU4,0.00,1091.67,2,gneE0_0,65.42,7.08,route01,1.98,Car01,0.00,7.08,0.00,,,,,,,,,,,,,,,
7.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,gneE0,1055.35,408.17,18447.11,2.30,7.99,0.38,0.00,5883.79,gneE0_0,33.53,7.62,73.22,0.00,3
7.00,,,,,,,,,,,,,,,,,,,,gneE1,479.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE1_0,33.53,33.53,0.00,0.00,0
7.00,,,,,,,,,,,,,,,,,,,,gneE3,239.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,gneE3_0,33.53,33.53,0.00,0.00,0
8.00,102.55,7882.91,0.66,3.30,0.16,90.00,HBEFA3/PC_G_EU4,0.00,2514.26,0,gneE0_0,69.35,72.85,route01,14.88,Car01,0.00,72.85,0.00,,,,,,,,,,,,,,,
8.00,93.50,5121.04,0.55,2.15,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1633.38,1,gneE0_0,65.74,31.69,route01,8.75,Car01,0.00,31.69,0.00,,,,,,,,,,,,,,,
8.00,133.68,4121.65,0.71,1.81,0.09,90.00,HBEFA3/PC_G_EU4,0.00,1314.64,2,gneE0_0,65.71,10.94,route01,3.85,Car01,0.00,10.94,0.00,,,,,,,,,,,,,,,
8.00,,,,,,,,,,,,,,,,,,,,:gneJ1_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ1_0_0,33.53,33.53,0.00,0.00,0
8.00,,,,,,,,,,,,,,,,,,,,:gneJ4_0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,:gneJ4_0_0,33.53,33.53,0.00,0.00,0
